name,link
Tiny Kingdom,https://store.steampowered.com/app/2438260/Tiny_Kingdom/?snr=1_7_7_230_150_4
Indicate,https://store.steampowered.com/app/3459680/Indicate/?snr=1_7_7_230_150_4
Pizza Rogue: P.P.M.P.D.E.S.,https://store.steampowered.com/app/3323710/Pizza_Rogue_PPMPDES/?snr=1_7_7_230_150_4
Stronghold: Caverns of Sorcery,https://store.steampowered.com/app/3374950/Stronghold_Caverns_of_Sorcery/?snr=1_7_7_230_150_4
Sniper Elite: Resistance,https://store.steampowered.com/app/2169200/Sniper_Elite_Resistance/?snr=1_7_7_230_150_4
Accolade Sports Collection (QUByte Classics),https://store.steampowered.com/app/3310260/Accolade_Sports_Collection_QUByte_Classics/?snr=1_7_7_230_150_4
Au Revoir,https://store.steampowered.com/app/3079600/Au_Revoir/?snr=1_7_7_230_150_4
SeaLion Flying,https://store.steampowered.com/app/3432640/SeaLion_Flying/?snr=1_7_7_230_150_4
PRONG,https://store.steampowered.com/app/3443420/PRONG/?snr=1_7_7_230_150_4
A Happy Place,https://store.steampowered.com/app/3433700/A_Happy_Place/?snr=1_7_7_230_150_4
Euphionia: The Tree Spirit's Curse,https://store.steampowered.com/app/3442010/Euphionia_The_Tree_Spirits_Curse/?snr=1_7_7_230_150_4
Hello Kitty Island Adventure,https://store.steampowered.com/app/2495100/Hello_Kitty_Island_Adventure/?snr=1_7_7_230_150_5
The Escape Room Chronicles ep2:The Old School Building,https://store.steampowered.com/app/3246240/The_Escape_Room_Chronicles_ep2The_Old_School_Building/?snr=1_7_7_230_150_5
Quantum Odyssey,https://store.steampowered.com/app/2802710/Quantum_Odyssey/?snr=1_7_7_230_150_5
Combo All The Time,https://store.steampowered.com/app/3037390/Combo_All_The_Time/?snr=1_7_7_230_150_5
Phonetics‌,https://store.steampowered.com/app/3450690/Phonetics/?snr=1_7_7_230_150_5
カードファイト!! ヴァンガード ディアデイズ2,https://store.steampowered.com/app/2457540/__2/?snr=1_7_7_230_150_5
Nine Minute Mayhem,https://store.steampowered.com/app/3397670/Nine_Minute_Mayhem/?snr=1_7_7_230_150_5
TOP DOG,https://store.steampowered.com/app/1979410/TOP_DOG/?snr=1_7_7_230_150_5
Hidden Cats - Spring Festival,https://store.steampowered.com/app/3293970/Hidden_Cats__Spring_Festival/?snr=1_7_7_230_150_5
Tasks for Two,https://store.steampowered.com/app/3393690/Tasks_for_Two/?snr=1_7_7_230_150_5
Cozy Campzone,https://store.steampowered.com/app/2965730/Cozy_Campzone/?snr=1_7_7_230_150_5
Smol Survivors,https://store.steampowered.com/app/3007290/Smol_Survivors/?snr=1_7_7_230_150_5
The End of the Sun,https://store.steampowered.com/app/912840/The_End_of_the_Sun/?snr=1_7_7_230_150_5
The Kaiyo Mission,https://store.steampowered.com/app/2248280/The_Kaiyo_Mission/?snr=1_7_7_230_150_5
Coridden,https://store.steampowered.com/app/1656930/Coridden/?snr=1_7_7_230_150_5
DeTechtive 2112,https://store.steampowered.com/app/2808800/DeTechtive_2112/?snr=1_7_7_230_150_5
POLARIS™ - ПОЛЯРИС™,https://store.steampowered.com/app/2482850/POLARIS__POLYARIS/?snr=1_7_7_230_150_5
Achilles: Survivor,https://store.steampowered.com/app/2922410/Achilles_Survivor/?snr=1_7_7_230_150_5
KAMiBAKO - Mythology of Cube -,https://store.steampowered.com/app/2081340/KAMiBAKO__Mythology_of_Cube/?snr=1_7_7_230_150_5
Ropuka's Idle Island,https://store.steampowered.com/app/3416070/Ropukas_Idle_Island/?snr=1_7_7_230_150_5
Mutation,https://store.steampowered.com/app/2945880/Mutation/?snr=1_7_7_230_150_5
吞食天地之乱舞三国,https://store.steampowered.com/app/3418930/_/?snr=1_7_7_230_150_5
Mistress Of The Tower,https://store.steampowered.com/app/3409270/Mistress_Of_The_Tower/?snr=1_7_7_230_150_5
HexaScape: Cyber Defense,https://store.steampowered.com/app/2647510/HexaScape_Cyber_Defense/?snr=1_7_7_230_150_5
Back Alley Darts,https://store.steampowered.com/app/3266350/Back_Alley_Darts/?snr=1_7_7_230_150_5
Kiosk,https://store.steampowered.com/app/3126330/Kiosk/?snr=1_7_7_230_150_5
SQUASER 3,https://store.steampowered.com/app/3453390/SQUASER_3/?snr=1_7_7_230_150_5
Agent Fall,https://store.steampowered.com/app/3220110/Agent_Fall/?snr=1_7_7_230_150_5
Army of Tentacles: Assault on Rainbow Unicorn Island,https://store.steampowered.com/app/1877720/Army_of_Tentacles_Assault_on_Rainbow_Unicorn_Island/?snr=1_7_7_230_150_5
